text,text_lower,length,digit_count,alphabet_count,is_numeric,is_date,contains_currency,x,y,relative_x,relative_y,width,height,relative_width,relative_height,aspect_ratio,log_area,ocr_confidence,line_number,paragraph_number,block_number,previous_text,previous_x,previous_y,next_text,next_x,next_y,label,document,source
AVENUE,avenue,6,0,6,0,0,0,936,17,0.45703125,0.00830078125,139,42,0.06787109375,0.0205078125,3.3095238095238093,8.672314828283538,0.93,1,1,2,,0,0,supermarts!,1105,14,SUPPLIER,invoice2.jpg,real
SUPERMARTS!,supermarts!,11,0,10,0,0,0,1105,14,0.53955078125,0.0068359375,236,52,0.115234375,0.025390625,4.538461538461538,9.415157006597509,0.72,1,1,2,avenue,936,17,ltd,1369,27,SUPPLIER,invoice2.jpg,real
LTD,ltd,3,0,3,0,0,0,1369,27,0.66845703125,0.01318359375,68,41,0.033203125,0.02001953125,1.6585365853658536,7.933438387627489,0.96,1,1,2,supermarts!,1105,14,in,889,73,SUPPLIER,invoice2.jpg,real
IN,in,2,0,2,0,0,0,889,73,0.43408203125,0.03564453125,43,46,0.02099609375,0.0224609375,0.9347826086956522,7.590346945602565,0.94,2,1,2,ltd,1369,27,‘=,966,87,O,invoice2.jpg,real
‘=,‘=,2,0,0,0,0,0,966,87,0.4716796875,0.04248046875,35,25,0.01708984375,0.01220703125,1.4,6.775366090936392,0.36,2,1,2,in,889,73,l51900mh2000plc126473,1030,81,O,invoice2.jpg,real
L51900MH2000PLC126473,l51900mh2000plc126473,21,15,6,0,0,0,1030,81,0.5029296875,0.03955078125,501,53,0.24462890625,0.02587890625,9.452830188679245,10.186935674455848,0.74,2,1,2,‘=,966,87,gstin,910,138,O,invoice2.jpg,real
GSTIN,gstin,5,0,5,0,0,0,910,138,0.4443359375,0.0673828125,115,45,0.05615234375,0.02197265625,2.5555555555555554,8.551787836180736,0.91,3,1,2,l51900mh2000plc126473,1030,81,:,1058,151,O,invoice2.jpg,real
:,:,1,0,0,0,0,0,1058,151,0.5166015625,0.07373046875,6,25,0.0029296875,0.01220703125,0.24,5.017279836814924,0.56,3,1,2,gstin,910,138,27aacca8432h170,1100,145,O,invoice2.jpg,real
27AACCA8432H170,27aacca8432h170,15,9,6,0,0,0,1100,145,0.537109375,0.07080078125,355,52,0.17333984375,0.025390625,6.826923076923077,9.82341567777057,0.65,3,1,2,:,1058,151,fssat,908,199,O,invoice2.jpg,real
FSSAT,fssat,5,0,5,0,0,0,908,199,0.443359375,0.09716796875,110,46,0.0537109375,0.0224609375,2.391304347826087,8.529319371214077,0.91,4,1,2,27aacca8432h170,1100,145,no:,1050,204,O,invoice2.jpg,real
