text,text_lower,length,digit_count,alphabet_count,is_numeric,is_date,contains_currency,x,y,relative_x,relative_y,width,height,relative_width,relative_height,aspect_ratio,log_area,ocr_confidence,line_number,paragraph_number,block_number,previous_text,previous_x,previous_y,next_text,next_x,next_y,label,document,source
INVOICE,invoice,7,0,7,0,0,0,456,44,0.46200607902735563,0.07495741056218058,74,12,0.07497467071935157,0.020442930153321975,6.166666666666667,6.790097235513905,1.0,1,1,1,,0,0,shri,57,79,O,invoice_0001.png,synthetic
Shri,shri,4,0,4,0,0,0,57,79,0.057750759878419454,0.13458262350936967,23,9,0.02330293819655522,0.015332197614991482,2.5555555555555554,5.337538079701318,1.0,2,2,1,invoice,456,44,enterprises,84,79,SUPPLIER,invoice_0001.png,synthetic
Enterprises,enterprises,11,0,11,0,0,0,84,79,0.0851063829787234,0.13458262350936967,60,12,0.060790273556231005,0.020442930153321975,5.0,6.580639137284949,1.0,2,2,1,shri,57,79,enterprises,148,79,SUPPLIER,invoice_0001.png,synthetic
Enterprises,enterprises,11,0,11,0,0,0,148,79,0.14994934143870314,0.13458262350936967,60,12,0.060790273556231005,0.020442930153321975,5.0,6.580639137284949,1.0,2,2,1,enterprises,84,79,invoice #,524,79,SUPPLIER,invoice_0001.png,synthetic
Invoice #,invoice #,9,0,7,0,0,0,524,79,0.5309017223910841,0.13458262350936967,45,9,0.04559270516717325,0.015332197614991482,5.0,6.0063531596017325,1.0,2,2,1,enterprises,148,79,inv1488,575,79,O,invoice_0001.png,synthetic
INV1488,inv1488,7,4,3,0,0,0,575,79,0.5825734549138805,0.13458262350936967,46,9,0.04660587639311044,0.015332197614991482,5.111111111111111,6.028278520230698,1.0,2,2,1,invoice #,524,79,"229,",57,99,INVOICE_NUMBER,invoice_0001.png,synthetic
"229,","229,",4,3,0,1,0,0,57,99,0.057750759878419454,0.1686541737649063,21,11,0.02127659574468085,0.018739352640545145,1.9090909090909092,5.44673737166631,1.0,3,2,1,inv1488,575,79,gandhi,82,99,O,invoice_0001.png,synthetic
Gandhi,gandhi,6,0,6,0,0,0,82,99,0.08308004052684904,0.1686541737649063,36,9,0.0364741641337386,0.015332197614991482,4.0,5.783825182329737,1.0,3,2,1,"229,",57,99,nagar,121,99,O,invoice_0001.png,synthetic
Nagar,nagar,5,0,5,0,0,0,121,99,0.12259371833839919,0.1686541737649063,31,12,0.031408308004052685,0.020442930153321975,2.5833333333333335,5.921578419643816,1.0,3,2,1,gandhi,82,99,invoice date:,524,99,O,invoice_0001.png,synthetic
Invoice Date:,invoice date:,13,0,11,0,0,0,524,99,0.5309017223910841,0.1686541737649063,65,9,0.06585612968591692,0.015332197614991482,7.222222222222222,6.373319789577012,1.0,3,2,1,nagar,121,99,03/04/2023,595,99,O,invoice_0001.png,synthetic
03/04/2023,03/04/2023,10,8,0,0,1,0,595,99,0.6028368794326241,0.1686541737649063,55,9,0.05572441742654509,0.015332197614991482,6.111111111111111,6.206575926724928,1.0,3,2,1,invoice date:,524,99,chennai,57,119,DATE,invoice_0001.png,synthetic
Chennai,chennai,7,0,7,0,0,0,57,119,0.057750759878419454,0.20272572402044292,41,9,0.04154002026342452,0.015332197614991482,4.555555555555555,5.91350300563827,1.0,4,2,1,03/04/2023,595,99,bill to:,57,146,O,invoice_0001.png,synthetic
Bill To:,bill to:,8,0,6,0,0,0,57,146,0.057750759878419454,0.24872231686541738,37,9,0.037487335359675786,0.015332197614991482,4.111111111111111,5.811140992976701,1.0,5,3,1,chennai,57,119,nitin,67,166,O,invoice_0001.png,synthetic
Nitin,nitin,5,0,5,0,0,0,67,166,0.06788247213779129,0.282793867120954,26,9,0.02634245187436677,0.015332197614991482,2.888888888888889,5.459585514144159,1.0,6,3,1,bill to:,57,146,sharma,97,166,CUSTOMER,invoice_0001.png,synthetic
Sharma,sharma,6,0,6,0,0,0,97,166,0.09827760891590678,0.282793867120954,41,9,0.04154002026342452,0.015332197614991482,4.555555555555555,5.91350300563827,1.0,6,3,1,nitin,67,166,"152,",67,186,CUSTOMER,invoice_0001.png,synthetic
"152,","152,",4,3,0,1,0,0,67,186,0.06788247213779129,0.31686541737649065,21,11,0.02127659574468085,0.018739352640545145,1.9090909090909092,5.44673737166631,1.0,7,3,1,sharma,97,166,bhopal,92,186,O,invoice_0001.png,synthetic
Bhopal,bhopal,6,0,6,0,0,0,92,186,0.09321175278622088,0.31686541737649065,35,12,0.03546099290780142,0.020442930153321975,2.9166666666666665,6.042632833682381,1.0,7,3,1,"152,",67,186,#,57,229,O,invoice_0001.png,synthetic
#,#,1,0,0,0,0,0,57,229,0.057750759878419454,0.3901192504258944,6,9,0.0060790273556231,0.015332197614991482,0.6666666666666666,4.007333185232471,1.0,8,4,1,bhopal,92,186,description,109,229,O,invoice_0001.png,synthetic
Description,description,11,0,11,0,0,0,109,229,0.11043566362715299,0.3901192504258944,60,12,0.060790273556231005,0.020442930153321975,5.0,6.580639137284949,1.0,8,4,1,#,57,229,qty,458,229,O,invoice_0001.png,synthetic
Qty,qty,3,0,3,0,0,0,458,229,0.46403242147923,0.3901192504258944,19,12,0.019250253292806486,0.020442930153321975,1.5833333333333333,5.43372200355424,1.0,8,4,1,description,109,229,unit,562,229,O,invoice_0001.png,synthetic
Unit,unit,4,0,4,0,0,0,562,229,0.569402228976697,0.3901192504258944,23,9,0.02330293819655522,0.015332197614991482,2.5555555555555554,5.337538079701318,1.0,8,4,1,qty,458,229,rate,666,229,O,invoice_0001.png,synthetic
Rate,rate,4,0,4,0,0,0,666,229,0.6747720364741642,0.3901192504258944,25,9,0.025329280648429583,0.015332197614991482,2.7777777777777777,5.420534999272286,1.0,8,4,1,unit,562,229,amount,770,229,O,invoice_0001.png,synthetic
Amount,amount,6,0,6,0,0,0,770,229,0.7801418439716312,0.3901192504258944,42,9,0.0425531914893617,0.015332197614991482,4.666666666666667,5.937536205082426,1.0,8,4,1,rate,666,229,toor,109,246,O,invoice_0001.png,synthetic
Toor,toor,4,0,4,0,0,0,109,246,0.11043566362715299,0.4190800681431005,23,9,0.02330293819655522,0.015332197614991482,2.5555555555555554,5.337538079701318,1.0,9,4,1,amount,770,229,dal,136,246,PRODUCT,invoice_0001.png,synthetic
Dal,dal,3,0,3,0,0,0,136,246,0.13779128672745694,0.4190800681431005,18,9,0.0182370820668693,0.015332197614991482,2.0,5.093750200806762,1.0,9,4,1,toor,109,246,1kg,158,246,PRODUCT,invoice_0001.png,synthetic
1kg,1kg,3,1,2,0,0,0,158,246,0.160081053698075,0.4190800681431005,18,12,0.0182370820668693,0.020442930153321975,1.5,5.37989735354046,1.0,9,4,1,dal,136,246,2,458,246,PRODUCT,invoice_0001.png,synthetic
2,2,1,1,0,1,0,0,458,246,0.46403242147923,0.4190800681431005,6,9,0.0060790273556231,0.015332197614991482,0.6666666666666666,4.007333185232471,1.0,9,4,1,1kg,158,246,g,562,249,QUANTITY,invoice_0001.png,synthetic
g,g,1,0,1,0,0,0,562,249,0.569402228976697,0.424190800681431,6,9,0.0060790273556231,0.015332197614991482,0.6666666666666666,4.007333185232471,1.0,9,4,1,2,458,246,350.50,666,246,UNIT,invoice_0001.png,synthetic
350.50,350.50,6,5,0,1,0,1,666,246,0.6747720364741642,0.4190800681431005,33,9,0.03343465045592705,0.015332197614991482,3.6666666666666665,5.697093486505405,1.0,9,4,1,g,562,249,701.00,770,246,UNIT_PRICE,invoice_0001.png,synthetic
701.00,701.00,6,5,0,1,0,1,770,246,0.7801418439716312,0.4190800681431005,33,9,0.03343465045592705,0.015332197614991482,3.6666666666666665,5.697093486505405,1.0,9,4,1,350.50,666,246,amul,109,266,ITEM_TOTAL,invoice_0001.png,synthetic
Amul,amul,4,0,4,0,0,0,109,266,0.11043566362715299,0.45315161839863716,28,9,0.028368794326241134,0.015332197614991482,3.111111111111111,5.53338948872752,1.0,10,4,1,701.00,770,246,butter,141,266,PRODUCT,invoice_0001.png,synthetic
