text,text_lower,length,digit_count,alphabet_count,is_numeric,is_date,contains_currency,x,y,relative_x,relative_y,width,height,relative_width,relative_height,aspect_ratio,log_area,ocr_confidence,line_number,paragraph_number,block_number,previous_text,previous_x,previous_y,next_text,next_x,next_y,label,document,source
INVOICE,invoice,7,0,7,0,0,0,456,44,0.4620060790273556,0.0749574105621805,74,12,0.0749746707193515,0.0204429301533219,6.166666666666667,6.790097235513905,1.0,1,1,1,,0,0,shri,57,79,O,invoice_0001.png,synthetic
Shri,shri,4,0,4,0,0,0,57,79,0.0577507598784194,0.1345826235093696,23,9,0.0233029381965552,0.0153321976149914,2.555555555555556,5.337538079701318,1.0,2,2,1,invoice,456,44,enterprises,84,79,SUPPLIER,invoice_0001.png,synthetic
Enterprises,enterprises,11,0,11,0,0,0,84,79,0.0851063829787234,0.1345826235093696,60,12,0.060790273556231,0.0204429301533219,5.0,6.580639137284949,1.0,2,2,1,shri,57,79,enterprises,148,79,SUPPLIER,invoice_0001.png,synthetic
Enterprises,enterprises,11,0,11,0,0,0,148,79,0.1499493414387031,0.1345826235093696,60,12,0.060790273556231,0.0204429301533219,5.0,6.580639137284949,1.0,2,2,1,enterprises,84,79,invoice #,524,79,SUPPLIER,invoice_0001.png,synthetic
Invoice #,invoice #,9,0,7,0,0,0,524,79,0.5309017223910841,0.1345826235093696,45,9,0.0455927051671732,0.0153321976149914,5.0,6.0063531596017325,1.0,2,2,1,enterprises,148,79,inv1488,575,79,O,invoice_0001.png,synthetic
INV1488,inv1488,7,4,3,0,0,0,575,79,0.5825734549138805,0.1345826235093696,46,9,0.0466058763931104,0.0153321976149914,5.111111111111111,6.028278520230698,1.0,2,2,1,invoice #,524,79,"229,",57,99,INVOICE_NUMBER,invoice_0001.png,synthetic
"229,","229,",4,3,0,1,0,0,57,99,0.0577507598784194,0.1686541737649063,21,11,0.0212765957446808,0.0187393526405451,1.9090909090909087,5.44673737166631,1.0,3,2,1,inv1488,575,79,gandhi,82,99,O,invoice_0001.png,synthetic
Gandhi,gandhi,6,0,6,0,0,0,82,99,0.083080040526849,0.1686541737649063,36,9,0.0364741641337386,0.0153321976149914,4.0,5.783825182329737,1.0,3,2,1,"229,",57,99,nagar,121,99,O,invoice_0001.png,synthetic
Nagar,nagar,5,0,5,0,0,0,121,99,0.1225937183383991,0.1686541737649063,31,12,0.0314083080040526,0.0204429301533219,2.583333333333333,5.921578419643816,1.0,3,2,1,gandhi,82,99,invoice date:,524,99,O,invoice_0001.png,synthetic
Invoice Date:,invoice date:,13,0,11,0,0,0,524,99,0.5309017223910841,0.1686541737649063,65,9,0.0658561296859169,0.0153321976149914,7.222222222222222,6.373319789577012,1.0,3,2,1,nagar,121,99,03/04/2023,595,99,O,invoice_0001.png,synthetic
03/04/2023,03/04/2023,10,8,0,0,1,0,595,99,0.6028368794326241,0.1686541737649063,55,9,0.055724417426545,0.0153321976149914,6.111111111111111,6.206575926724928,1.0,3,2,1,invoice date:,524,99,chennai,57,119,DATE,invoice_0001.png,synthetic
Chennai,chennai,7,0,7,0,0,0,57,119,0.0577507598784194,0.2027257240204429,41,9,0.0415400202634245,0.0153321976149914,4.555555555555555,5.91350300563827,1.0,4,2,1,03/04/2023,595,99,bill to:,57,146,O,invoice_0001.png,synthetic
Bill To:,bill to:,8,0,6,0,0,0,57,146,0.0577507598784194,0.2487223168654173,37,9,0.0374873353596757,0.0153321976149914,4.111111111111111,5.811140992976701,1.0,5,3,1,chennai,57,119,nitin,67,166,O,invoice_0001.png,synthetic
Nitin,nitin,5,0,5,0,0,0,67,166,0.0678824721377912,0.282793867120954,26,9,0.0263424518743667,0.0153321976149914,2.888888888888889,5.459585514144159,1.0,6,3,1,bill to:,57,146,sharma,97,166,CUSTOMER,invoice_0001.png,synthetic
Sharma,sharma,6,0,6,0,0,0,97,166,0.0982776089159067,0.282793867120954,41,9,0.0415400202634245,0.0153321976149914,4.555555555555555,5.91350300563827,1.0,6,3,1,nitin,67,166,"152,",67,186,CUSTOMER,invoice_0001.png,synthetic
"152,","152,",4,3,0,1,0,0,67,186,0.0678824721377912,0.3168654173764906,21,11,0.0212765957446808,0.0187393526405451,1.9090909090909087,5.44673737166631,1.0,7,3,1,sharma,97,166,bhopal,92,186,O,invoice_0001.png,synthetic
Bhopal,bhopal,6,0,6,0,0,0,92,186,0.0932117527862208,0.3168654173764906,35,12,0.0354609929078014,0.0204429301533219,2.9166666666666665,6.042632833682381,1.0,7,3,1,"152,",67,186,#,57,229,O,invoice_0001.png,synthetic
#,#,1,0,0,0,0,0,57,229,0.0577507598784194,0.3901192504258944,6,9,0.0060790273556231,0.0153321976149914,0.6666666666666666,4.007333185232471,1.0,8,4,1,bhopal,92,186,description,109,229,O,invoice_0001.png,synthetic
Description,description,11,0,11,0,0,0,109,229,0.1104356636271529,0.3901192504258944,60,12,0.060790273556231,0.0204429301533219,5.0,6.580639137284949,1.0,8,4,1,#,57,229,qty,458,229,O,invoice_0001.png,synthetic
Qty,qty,3,0,3,0,0,0,458,229,0.46403242147923,0.3901192504258944,19,12,0.0192502532928064,0.0204429301533219,1.5833333333333333,5.43372200355424,1.0,8,4,1,description,109,229,unit,562,229,O,invoice_0001.png,synthetic
Unit,unit,4,0,4,0,0,0,562,229,0.569402228976697,0.3901192504258944,23,9,0.0233029381965552,0.0153321976149914,2.555555555555556,5.337538079701318,1.0,8,4,1,qty,458,229,rate,666,229,O,invoice_0001.png,synthetic
