text,text_lower,length,digit_count,alphabet_count,is_numeric,is_date,contains_currency,x,y,relative_x,relative_y,width,height,relative_width,relative_height,aspect_ratio,log_area,ocr_confidence,line_number,paragraph_number,block_number,previous_text,previous_x,previous_y,next_text,next_x,next_y,label,document
AVENUE,avenue,6,0,6,0,0,0,936,17,0.45703125,0.00830078125,139,42,0.06787109375,0.0205078125,3.3095238095238093,8.672314828283538,0.93,1,1,2,,0,0,supermarts!,1105,14,SUPPLIER,invoice2_tokens.json
SUPERMARTS!,supermarts!,11,0,10,0,0,0,1105,14,0.53955078125,0.0068359375,236,52,0.115234375,0.025390625,4.538461538461538,9.415157006597507,0.72,1,1,2,avenue,936,17,ltd,1369,27,SUPPLIER,invoice2_tokens.json
LTD,ltd,3,0,3,0,0,0,1369,27,0.66845703125,0.01318359375,68,41,0.033203125,0.02001953125,1.6585365853658536,7.933438387627489,0.96,1,1,2,supermarts!,1105,14,in,889,73,SUPPLIER,invoice2_tokens.json
IN,in,2,0,2,0,0,0,889,73,0.43408203125,0.03564453125,43,46,0.02099609375,0.0224609375,0.9347826086956522,7.590346945602565,0.94,2,1,2,ltd,1369,27,‘=,966,87,O,invoice2_tokens.json
‘=,‘=,2,0,0,0,0,0,966,87,0.4716796875,0.04248046875,35,25,0.01708984375,0.01220703125,1.4,6.775366090936392,0.36,2,1,2,in,889,73,l51900mh2000plc126473,1030,81,O,invoice2_tokens.json
L51900MH2000PLC126473,l51900mh2000plc126473,21,15,6,0,0,0,1030,81,0.5029296875,0.03955078125,501,53,0.24462890625,0.02587890625,9.452830188679243,10.186935674455848,0.74,2,1,2,‘=,966,87,gstin,910,138,O,invoice2_tokens.json
GSTIN,gstin,5,0,5,0,0,0,910,138,0.4443359375,0.0673828125,115,45,0.05615234375,0.02197265625,2.555555555555556,8.551787836180736,0.91,3,1,2,l51900mh2000plc126473,1030,81,:,1058,151,O,invoice2_tokens.json
:,:,1,0,0,0,0,0,1058,151,0.5166015625,0.07373046875,6,25,0.0029296875,0.01220703125,0.24,5.017279836814924,0.56,3,1,2,gstin,910,138,27aacca8432h170,1100,145,O,invoice2_tokens.json
27AACCA8432H170,27aacca8432h170,15,9,6,0,0,0,1100,145,0.537109375,0.07080078125,355,52,0.17333984375,0.025390625,6.826923076923077,9.82341567777057,0.65,3,1,2,:,1058,151,fssat,908,199,O,invoice2_tokens.json
FSSAT,fssat,5,0,5,0,0,0,908,199,0.443359375,0.09716796875,110,46,0.0537109375,0.0224609375,2.391304347826087,8.529319371214077,0.91,4,1,2,27aacca8432h170,1100,145,no:,1050,204,O,invoice2_tokens.json
NO:,no:,3,0,2,0,0,0,1050,204,0.5126953125,0.099609375,59,43,0.02880859375,0.02099609375,1.372093023255814,7.839131648274333,0.25,4,1,2,fssat,908,199,11518015000352,1125,208,O,invoice2_tokens.json
11518015000352,11518015000352,14,14,0,1,0,0,1125,208,0.54931640625,0.1015625,326,50,0.1591796875,0.0244140625,6.52,9.69898173460629,0.25,4,1,2,no:,1050,204,d-mart,975,324,O,invoice2_tokens.json
D-Mart,d-mart,6,0,5,0,0,0,975,324,0.47607421875,0.158203125,134,45,0.0654296875,0.02197265625,2.977777777777778,8.704668113450987,0.78,5,1,2,11518015000352,1125,208,k,1141,330,O,invoice2_tokens.json
K,k,1,0,1,0,0,0,1141,330,0.55712890625,0.1611328125,19,39,0.00927734375,0.01904296875,0.4871794871794871,6.60934924316738,0.92,5,1,2,d-mart,975,324,khajrane,1188,333,O,invoice2_tokens.json
Khajrane,khajrane,8,0,8,0,0,0,1188,333,0.580078125,0.16259765625,185,44,0.09033203125,0.021484375,4.204545454545454,9.004668301573977,0.7,5,1,2,k,1141,330,plot,809,377,O,invoice2_tokens.json
Plot,plot,4,0,4,0,0,0,809,377,0.39501953125,0.18408203125,87,44,0.04248046875,0.021484375,1.9772727272727275,8.250358951477294,0.96,6,1,2,khajrane,1188,333,"no,",926,382,O,invoice2_tokens.json
"No,","no,",3,0,2,0,0,0,926,382,0.4521484375,0.1865234375,54,42,0.0263671875,0.0205078125,1.2857142857142858,7.727094484779841,0.81,6,1,2,plot,809,377,"105,",1001,385,O,invoice2_tokens.json
"105,","105,",4,3,0,1,0,0,1001,385,0.48876953125,0.18798828125,73,46,0.03564453125,0.0224609375,1.5869565217391304,8.119398589612294,0.84,6,1,2,"no,",926,382,naik,1115,390,O,invoice2_tokens.json
Naik,naik,4,0,4,0,0,0,1115,390,0.54443359375,0.1904296875,87,42,0.04248046875,0.0205078125,2.071428571428572,8.203851372183879,0.96,6,1,2,"105,",1001,385,"circle,",1233,394,O,invoice2_tokens.json
"Circle,","circle,",7,0,6,0,0,0,1233,394,0.60205078125,0.1923828125,147,48,0.07177734375,0.0234375,3.0625,8.86177531100083,0.93,6,1,2,naik,1115,390,"sec-7,",1422,403,O,invoice2_tokens.json
"Sec-7,","sec-7,",6,1,3,0,0,0,1422,403,0.6943359375,0.19677734375,123,44,0.06005859375,0.021484375,2.7954545454545454,8.596558746796978,0.91,6,1,2,"circle,",1233,394,"koparkhajrane,",760,435,O,invoice2_tokens.json
"Koparkhajrane,","koparkhajrane,",14,0,13,0,0,0,760,435,0.37109375,0.21240234375,312,56,0.15234375,0.02734375,5.571428571428571,9.76841211133904,0.8,7,1,2,"sec-7,",1422,403,nav},1136,450,O,invoice2_tokens.json
Nav},nav},4,0,3,0,0,0,1136,450,0.5546875,0.2197265625,82,42,0.0400390625,0.0205078125,1.9523809523809523,8.144679183447758,0.86,7,1,2,"koparkhajrane,",760,435,mumbai=,1254,456,O,invoice2_tokens.json
Mumbai=,mumbai=,7,0,6,0,0,0,1254,456,0.6123046875,0.22265625,158,42,0.0771484375,0.0205078125,3.761904761904762,8.800415333145924,0.31,7,1,2,nav},1136,450,400709,1442,464,O,invoice2_tokens.json
400709,400709,6,6,0,1,0,0,1442,464,0.7041015625,0.2265625,138,42,0.0673828125,0.0205078125,3.2857142857142856,8.665095821339733,0.96,7,1,2,mumbai=,1254,456,phone,946,502,O,invoice2_tokens.json
Phone,phone,5,0,5,0,0,0,946,502,0.4619140625,0.2451171875,113,45,0.05517578125,0.02197265625,2.511111111111111,8.534246945982066,0.93,1,1,3,400709,1442,464,:,1093,516,O,invoice2_tokens.json
:,:,1,0,0,0,0,0,1093,516,0.53369140625,0.251953125,5,24,0.00244140625,0.01171875,0.2083333333333333,4.795790545596741,0.09,1,1,3,phone,946,502,022-39336300,1134,511,O,invoice2_tokens.json
022-39336300,022-39336300,12,11,0,0,0,0,1134,511,0.5537109375,0.24951171875,277,48,0.13525390625,0.0234375,5.770833333333333,9.495293724856706,0.92,1,1,3,:,1093,516,bill,735,729,O,invoice2_tokens.json
Bill,bill,4,0,4,0,0,0,735,729,0.35888671875,0.35595703125,81,43,0.03955078125,0.02099609375,1.8837209302325584,8.155936337972394,0.92,2,1,3,022-39336300,1134,511,dt,849,733,O,invoice2_tokens.json
Dt,dt,2,0,2,0,0,0,849,733,0.41455078125,0.35791015625,81,42,0.03955078125,0.0205078125,1.9285714285714288,8.132412674500905,0.92,2,1,3,bill,735,729,:,915,725,O,invoice2_tokens.json
